created_at,device_id,lat,lng,organization_name,sacco_name,updated_at
2018-08-01T05:11:02,139a0121-ea99-4b91-99d6-5181e2fbb16a,'-1.2790747666666666,36.89590583333333,Facebook Matatu Project,Umoinner,2018-08-01T05:11:07
2018-08-01T05:16:09,139a0121-ea99-4b91-99d6-5181e2fbb16a,'-1.2791129833333335,36.895728883333334,Facebook Matatu Project,Umoinner,2018-08-01T05:16:10
2018-08-01T05:21:16,139a0121-ea99-4b91-99d6-5181e2fbb16a,'-1.2791199166666667,36.895830466666666,Facebook Matatu Project,Umoinner,2018-08-01T05:21:17
2018-08-01T05:26:23,139a0121-ea99-4b91-99d6-5181e2fbb16a,'-1.27880495,36.896292833333334,Facebook Matatu Project,Umoinner,2018-08-01T05:26:25
2018-08-01T05:31:30,139a0121-ea99-4b91-99d6-5181e2fbb16a,'-1.2787576999999999,36.895515216666666,Facebook Matatu Project,Umoinner,2018-08-01T05:31:31
2018-08-01T05:36:38,139a0121-ea99-4b91-99d6-5181e2fbb16a,'-1.2787576999999999,36.895515216666666,Facebook Matatu Project,Umoinner,2018-08-01T05:36:38
2018-08-01T05:41:45,139a0121-ea99-4b91-99d6-5181e2fbb16a,'-1.2791345166666668,36.895837666666665,Facebook Matatu Project,Umoinner,2018-08-01T05:41:47
2018-08-01T05:46:52,139a0121-ea99-4b91-99d6-5181e2fbb16a,'-1.2790986166666667,36.8959085,Facebook Matatu Project,Umoinner,2018-08-01T05:46:53
2018-08-01T05:51:59,139a0121-ea99-4b91-99d6-5181e2fbb16a,'-1.2787888333333333,36.8959244,Facebook Matatu Project,Umoinner,2018-08-01T05:52:00
2018-08-01T05:57:06,139a0121-ea99-4b91-99d6-5181e2fbb16a,'-1.2787888333333333,36.8959244,Facebook Matatu Project,Umoinner,2018-08-01T05:57:08
2018-08-01T06:07:21,139a0121-ea99-4b91-99d6-5181e2fbb16a,'-1.27842085,36.89018986666667,Facebook Matatu Project,Umoinner,2018-08-01T06:11:26
2018-08-01T06:12:28,139a0121-ea99-4b91-99d6-5181e2fbb16a,'-1.27836945,36.890231316666664,Facebook Matatu Project,Umoinner,2018-08-01T06:12:29
2018-08-01T06:17:35,139a0121-ea99-4b91-99d6-5181e2fbb16a,'-1.27836945,36.890231316666664,Facebook Matatu Project,Umoinner,2018-08-01T06:21:34
2018-08-01T06:22:42,139a0121-ea99-4b91-99d6-5181e2fbb16a,'-1.27836945,36.890231316666664,Facebook Matatu Project,Umoinner,2018-08-01T06:22:43
2018-08-01T06:27:50,139a0121-ea99-4b91-99d6-5181e2fbb16a,'-1.2786489333333333,36.890258116666665,Facebook Matatu Project,Umoinner,2018-08-01T06:27:54
2018-08-01T06:32:57,139a0121-ea99-4b91-99d6-5181e2fbb16a,'-1.2781717666666665,36.8902021,Facebook Matatu Project,Umoinner,2018-08-01T06:33:01
2018-08-01T06:38:04,139a0121-ea99-4b91-99d6-5181e2fbb16a,'-1.2781717666666665,36.8902021,Facebook Matatu Project,Umoinner,2018-08-01T06:38:06
2018-08-01T06:43:11,139a0121-ea99-4b91-99d6-5181e2fbb16a,'-1.2783633833333334,36.890262033333336,Facebook Matatu Project,Umoinner,2018-08-01T06:43:13
2018-08-01T06:48:19,139a0121-ea99-4b91-99d6-5181e2fbb16a,'-1.2783633833333334,36.890262033333336,Facebook Matatu Project,Umoinner,2018-08-01T06:48:20
2018-08-01T06:58:58,139a0121-ea99-4b91-99d6-5181e2fbb16a,'-1.2754951166666666,36.877427983333334,Facebook Matatu Project,Umoinner,2018-08-01T06:59:00
2018-08-01T06:53:26,139a0121-ea99-4b91-99d6-5181e2fbb16a,'-1.2754951166666666,36.877427983333334,Facebook Matatu Project,Umoinner,2018-08-01T07:22:53
2018-08-01T07:03:40,139a0121-ea99-4b91-99d6-5181e2fbb16a,'-1.2754951166666666,36.877427983333334,Facebook Matatu Project,Umoinner,2018-08-01T07:22:53
2018-08-01T07:08:48,139a0121-ea99-4b91-99d6-5181e2fbb16a,'-1.2754951166666666,36.877427983333334,Facebook Matatu Project,Umoinner,2018-08-01T07:22:53
2018-08-01T07:19:03,139a0121-ea99-4b91-99d6-5181e2fbb16a,'-1.2889960666666667,36.84008228333333,Facebook Matatu Project,Umoinner,2018-08-01T07:22:53
2018-08-01T07:24:10,139a0121-ea99-4b91-99d6-5181e2fbb16a,'-1.2889960666666667,36.84008228333333,Facebook Matatu Project,Umoinner,2018-08-01T07:24:12
